package	version	arch	tier	tier_source	subsystem	fwd_dep_count	rdep_count	rdeps	size_kb	bin_files	lib_files	unit_files	doc_files	maintainer_hook_count	security_evidence_count	candidate
libssl3t64	3.5.6-1~deb13u2	amd64	dependency	auto (unclassified)	support-libraries	4	10	apt,coreutils,dhcpcd-base,kmod,libapt-pkg7.0,libkmod2,libkrb5-3,libsystemd-shared,openssl-provider-legacy,systemd	8099	0	0	0	0	0	0	-
libstdc++6	14.2.0-19	amd64	dependency	auto (unclassified)	executable-runtime	3	3	apt,apt-utils,libapt-pkg7.0	3019	0	0	0	0	0	0	-
libsystemd-shared	257.13-1~deb13u1	amd64	dependency	auto (unclassified)	init-service	11	2	systemd,udev	6825	0	0	0	0	0	0	-
libsystemd0	257.13-1~deb13u1	amd64	dependency	auto (unclassified)	init-service	2	10	apt,bsdutils,coreutils,libapt-pkg7.0,libpam-modules-bin,libpam-modules,libproc2-0,procps,systemd,util-linux	1223	0	0	0	0	0	0	-
libtext-charwidth-perl	0.04-11+b4	amd64	debian-essential	auto (Priority/Essential)	perl-runtime	3	2	debconf-i18n,libtext-wrapi18n-perl	42	0	0	0	0	0	0	-
libtext-iconv-perl	1.7-8+b4	amd64	debian-essential	auto (Priority/Essential)	perl-runtime	3	1	debconf-i18n	50	0	0	0	0	0	0	-
libtext-wrapi18n-perl	0.06-10	all	debian-essential	auto (Priority/Essential)	perl-runtime	1	1	debconf-i18n	26	0	0	0	7	0	0	-
libtinfo6	6.5+20250216-2	amd64	dependency	auto (unclassified)	admin-human-interface	1	11	bash,fdisk,less,libedit2,libncursesw6,libreadline8t64,nano,ncurses-bin,procps,util-linux,vim-tiny	569	0	0	0	0	0	0	-
libtirpc-common	1.3.6+ds-1	all	dependency	auto (unclassified)	networking	0	1	libtirpc3t64	32	0	0	0	7	0	0	-
libtirpc3t64	1.3.6+ds-1	amd64	dependency	auto (unclassified)	networking	3	1	iproute2	236	0	0	0	0	0	0	-
libudev1	257.13-1~deb13u1	amd64	dependency	auto (unclassified)	device-kernel	2	4	dhcpcd-base,libapt-pkg7.0,udev,util-linux	357	0	0	0	0	0	0	-
libunistring5	1.3-2	amd64	dependency	auto (unclassified)	networking	1	1	libidn2-0	2092	0	0	0	0	0	0	-
